adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/2RnDe9p7L2I2txSxDeWBhbgbp39.jpg,"[80, 18, 9648]",9676,['GB'],en,Murder Rooms: The Dark Beginnings of Sherlock Holmes,"En los pasillos de la prestigiosa Universidad de Medicina de Edimburgo, el joven Arthur Conan Doyle experimenta sus primeras lecciones forenses. En 1878, cuando conoce al brillante Dr. Bell, Doyle se desvía de sus estudios para explorar un mundo mucho más emocionante: el de la investigación del crimen. Ambos ayudarán a la policía local a resolver los casos más complicados. Doyle se queda fascinado por el extraordinario talento de Dr. Joseph Bell, con el que deja atrás a los otros detectives y puede descubrir a los criminales más inteligentes, basándose en la percepción, observación y el método deductivo para resolver casos inexplicables. No obstante, durante uno de estos juegos del gato y el ratón, las cosas no suceden de la forma habitual.",2.1572,/j6GesEULSNC0TvWbRYdVLIQeqdc.jpg,2001-09-04,La habitación del crimen: Misterios del verdadero Sherlock Holmes,8.0,16
False,/bGKayEeY3aNWzxD9GPawVvTmqv1.jpg,"[10751, 35]",3795,['DE'],de,Mein Leben & Ich,,2.141,/5y9xqGqsA2ZboL7CuSu6Kw6KFzR.jpg,2001-09-14,Mein Leben & Ich,7.5,8
False,/czjWul50AQM3XWlJQCMyt3XFbNV.jpg,[80],217504,['PT'],pt,Segredo de Justiça,,2.0496,/1V14VDDASVmQsOAp1y3kGAwu1rv.jpg,2001-09-14,Segredo de Justiça,0.0,0
False,/7ULAn916IZllQqLgBQ1lUqcPi0q.jpg,"[18, 9648]",107175,['DK'],da,De udvalgte,,2.0447,/rbDjxsN6cWJfUyehM8zVnjMOP8m.jpg,2001-09-02,De udvalgte,0.0,0
False,/5j0wXcCwANgLTLilMBtx70udT5V.jpg,"[10765, 18]",2889,['CA'],en,Vampire High,,1.9984000000000002,/hV1PPCTeiYZJkvvcK22EH36DfLg.jpg,2001-09-15,Vampire High,8.4,5
False,,"[18, 16, 10751]",21205,['CA'],en,Anne of Green Gables: The Animated Series,,1.9971,/nCH5QNZ5JZAze1nUCAGz4eY5Xba.jpg,2001-09-02,Anne of Green Gables: The Animated Series,6.0,4
False,/6t48cCkNLBYfAbmYxfYFaA3Aebs.jpg,"[35, 18]",36777,['NL'],nl,Rozengeur & Wodka Lime,,1.9534,/kgMb4XOORlc352ytGX68ZRowVYG.jpg,2001-09-02,Rozengeur & Wodka Lime,3.0,3
False,/3Hi7NkYkiU01sSdIW7NYneLE955.jpg,"[18, 10766]",128,['US'],en,Pasadena,,1.8722,/jY9NdQKNlUJswTycfN7yqhjpVKc.jpg,2001-09-28,Pasadena,5.917,12
False,,[18],134010,['FR'],fr,"Pierre ou, Les ambiguïtés",,1.8517000000000001,/jNzZnHZI5Juu2tlID6tnpFLPDds.jpg,2001-09-24,"Pierre ou, Les ambiguïtés",7.0,1
False,,[],5554,"['CA', 'GB']",en,Don't Eat the Neighbours,,1.7559,,2001-09-20,Don't Eat the Neighbours,4.5,2
False,/yPskMMwlT3CgiYpKSnoSlEPxBiy.jpg,"[16, 10762, 10765]",129390,[],en,Fairy Tale Police Department,,1.6989,/5u3dFbujZVWfAZTNtJonoCCjhwI.jpg,2001-09-10,Fairy Tale Police Department,5.0,3
False,,[18],10172,['US'],en,Citizen Baines,,1.6907,/s7uCvS2r70jsI5AJosyR8jl14TA.jpg,2001-09-29,Citizen Baines,0.0,0
False,/gxSNLEykLHp9ksmVhYKViJZcFP4.jpg,"[10759, 18, 35]",85690,['RU'],ru,Дальнобойщики,,1.6871,/MOnNb1J4LE5JBVnXShCIs1Hay1.jpg,2001-09-10,Дальнобойщики,6.0,22
False,/81Z7zqYuX1oZCMCB3oAmAz9YQRh.jpg,"[18, 35]",11219,['GB'],en,Bob & Rose,,1.6036000000000001,/lzAYvLfe2KdLtlb0QE5t2Ho8p0C.jpg,2001-09-10,Bob & Rose,5.8,10
False,/2B4gChd4M1iSqhd0VLderVtxNpv.jpg,[16],2315,"['US', 'CA']",en,The Ripping Friends,,1.577,/1ZseRB5JKBiGK1aAow5tEXHgd4a.jpg,2001-09-22,The Ripping Friends,6.7,6
False,/ku0bgF2PuW2HQCAh3SCE6niW2r.jpg,"[16, 35, 18]",133853,[],en,Neurotically Yours,,1.5037,/oJsoBCCPdYqMhzdm4arcz2yeajp.jpg,2001-09-10,Neurotically Yours,0.0,0
False,/5FKPGDtspuh3PtcQ4gMBsC1Vel5.jpg,[],202381,['JP'],ja,逆転の夏,,1.4876,/pcPEICNF8GYdPMLVNZEvmO5rNwV.jpg,2001-09-03,逆転の夏,0.0,0
False,,[35],115451,['DE'],de,Stratmanns - Jupps Kneipentheater im Pott,,1.4488,,2001-09-24,Stratmanns - Jupps Kneipentheater im Pott,0.0,0
False,/7vQiFwPtVdOl4eksPTa8pLZUoL2.jpg,"[18, 35]",10968,['US'],en,The Mind of the Married Man,,1.3887,/jR33orT1VU6EiCT2oqxhKP7J4DR.jpg,2001-09-23,The Mind of the Married Man,8.1,8
False,/h6DnbhLTCVVFjkaUfWK7QBe0WFe.jpg,[35],53304,['PT'],pt,Paraíso Filmes,,1.3706,/koWHyibBaodOzmz2V3dGOIzkdMf.jpg,2001-09-06,Paraíso Filmes,6.5,4
False,/3AiDGCHlPInT0fn9jh0j66kdhjj.jpg,"[16, 10759, 10765]",10003,"['CA', 'US']",en,Alienators: Evolution Continues,,1.3404,/iQxJX0eSOo6Qg6RstYW6QS3egyI.jpg,2001-09-15,Alienators: Evolution Continues,5.7,7
False,/vWQUmlWbLiSp4eEug8wbDwucY0p.jpg,[18],207207,['TW'],zh,流星雨,,1.3178,/omb39WdBaAnw6z035MNgZ4qoojw.jpg,2001-09-13,流星雨,0.0,0
False,/gJZDK9NAGXTjFC4uWBTKjfcVQim.jpg,"[37, 18]",11179,['US'],en,Ponderosa,,1.3114,/vcGEqwRyNXgaFm0A4RFpLd7YopA.jpg,2001-09-09,Ponderosa,5.0,1
False,/wYEmuHH6N9EjowaofKE4jtTsiJA.jpg,"[80, 18]",83974,['FR'],fr,Central Nuit,,1.2837,/8lq5mfbTPFO68ZOreijf9qBqCcM.jpg,2001-09-14,Central Nuit,5.0,4
