tmdb_id,titulo,certificacion,espectadores_live,es_tendencia,es_popular
253372,The Institute,TV-MA,0,False,True
138505,Marvel Zombies,TV-MA,0,False,True
252193,Last Samurai Standing,TV-MA,0,False,True
250988,House of Guinness,TV-MA,0,False,True
239826,Ballard,TV-14,0,False,True
241883,The Gardener,,0,False,True
279601,Man vs Baby,TV-PG,0,False,True
225647,Boots,TV-MA,0,False,True
282606,The Anatomy of a Moment,,0,False,True
248937,Hostage,TV-MA,0,False,True
283133,Innate,,0,False,True
229513,When No One Sees Us,TV-MA,0,False,True
248830,Stick,TV-MA,0,False,True
253376,The Girlfriend,TV-MA,0,False,True
254544,The Waterfront,TV-MA,0,False,True
207411,Good American Family,TV-MA,0,False,True
277752,City of Shadows,TV-MA,0,False,True
219246,When Life Gives You Tangerines,TV-14,0,False,True
215995,Smoke,TV-MA,0,False,True
215522,We Were Liars,TV-14,0,False,True
256317,Countdown,TV-MA,0,False,True
209876,Dope Thief,TV-MA,0,False,True
262878,Secrets We Keep,,0,False,True
259615,Terra Alta,,0,False,True
255251,Sean Combs: The Reckoning,TV-MA,0,False,True
227114,Butterfly,TV-MA,0,False,True
253321,The Better Sister,TV-14,0,False,True
247784,PULSE,TV-MA,0,False,True
273916,Los sin nombre,,0,False,True
245219,Death by Lightning,TV-MA,0,False,True
248716,Rotten Legacy,,0,False,True
259669,Olympo,TV-MA,0,False,True
223300,The Abandons,TV-MA,0,False,True
247168,Chad Powers,TV-MA,0,False,True
122781,Asterix & Obelix: The Big Fight,TV-PG,0,False,True
207484,Outlander: Blood of My Blood,TV-MA,0,False,True
244447,The Hunting Wives,TV-MA,0,False,True
275388,The Glass Dome,,0,False,True
244628,Long Bright River,TV-MA,0,False,True
283367,American Manhunt: Osama bin Laden,TV-MA,0,False,True
259200,Perdiendo el juicio,,0,False,True
284879,Las hijas de la criada,,0,False,True
287358,Yakarta,,0,False,True
241388,Eyes of Wakanda,TV-14,0,False,True
233256,The Stolen Girl,,0,False,True
240993,Ransom Canyon,TV-MA,0,False,True
247619,Overcompensating,TV-MA,0,False,True
280880,Rage (Furia),TV-MA,0,False,True
285801,Suspicious Minds,,0,False,True
257534,Devil in Disguise: John Wayne Gacy,TV-MA,0,False,True
288055,Star Wars: Tales of the Underworld,TV-PG,0,False,True
256624,Talamasca: The Secret Order,TV-MA,0,False,True
235355,Resident Playbook,,0,False,True
262920,The Asset,TV-MA,0,False,True
241405,Dying for Sex,TV-MA,0,False,True
284605,The Survivors,TV-MA,0,False,True
284445,Takopi's Original Sin,,0,False,True
247756,The Monster of Florence,TV-MA,0,False,True
219080,The Mighty Nein,TV-MA,0,False,True
245827,Harlan Coben's Lazarus,,0,False,True
240558,King & Conqueror,,0,False,True
298234,aka Charlie Sheen,TV-MA,0,False,True
231003,Lazarus,TV-14,0,False,True
242907,Fate,,0,False,True
294726,Amy Bradley Is Missing,TV-14,0,False,True
280878,El clan Olimpia,,0,False,True
273914,El Centro,,0,False,True
271607,The Fragrant Flower Blooms with Dignity,TV-PG,0,False,True
278274,Entrepreneurs,,0,False,True
280893,Punto Nemo,,0,False,True
256150,Mar afuera,,0,False,True
280945,"Bon Appétit, Your Majesty",TV-14,0,False,True
293756,Sin gluten,,0,False,True
280890,The Lady's Companion,TV-MA,0,False,True
232766,Mercy for None,TV-MA,0,False,True
274980,La frontera,,0,False,True
255752,Haunted Hotel,TV-14,0,False,True
113959,Duster,TV-MA,0,False,True
243217,Happy Face,TV-MA,0,False,True
270734,Murdaugh: Death in the Family,TV-MA,0,False,True
233686,Karma,,0,False,True
260458,Adults,TV-MA,0,False,True
248416,The Twisted Tale of Amanda Knox,TV-MA,0,False,True
243954,Motorheads,,0,False,True
127366,Splinter Cell: Deathwatch,TV-MA,0,False,True
278196,The Summer Hikaru Died,TV-14,0,False,True
262352,The Assassin,,0,False,True
272059,TO BE HERO X,TV-14,0,False,True
259823,Zero Day Attack,TV-14,0,False,True
232230,Lord of Mysteries,TV-14,0,False,True
273247,The Lowdown,TV-MA,0,False,True
273912,La canción,,0,False,True
255779,Bet,TV-MA,0,False,True
250312,Caught,TV-MA,0,False,True
292012,Disappeared,,0,False,True
258962,Pubertat,,0,False,True
256711,The Rainmaker,TV-14,0,False,True
285084,Gone Girls: The Long Island Serial Killer,TV-MA,0,False,True
